station,gear,skate_or_pot_unique_id,skate_or_pot_number,n_sablefish,detailed_gear
Exp_Set1,POT,Exp_Set1_98_137,137,12,Small pots
Exp_Set1,POT,Exp_Set1_98_138,138,10,Small pots
Exp_Set1,POT,Exp_Set1_98_139,139,7,Small pots
Exp_Set1,POT,Exp_Set1_98_140,140,23,Small pots
Exp_Set1,POT,Exp_Set1_98_142,142,12,Small pots
Exp_Set1,POT,Exp_Set1_98_143,143,9,Small pots
Exp_Set1,POT,Exp_Set1_98_144,144,5,Small pots
Exp_Set1,POT,Exp_Set1_98_145,145,12,Small pots
Exp_Set1,POT,Exp_Set1_98_146,146,6,Small pots
Exp_Set1,POT,Exp_Set1_98_147,147,10,Small pots
Exp_Set1,POT,Exp_Set1_98_148,148,16,Small pots
Exp_Set1,POT,Exp_Set1_98_149,149,2,Small pots
Exp_Set1,POT,Exp_Set1_98_150,150,10,Small pots
Exp_Set1,POT,Exp_Set1_98_151,151,7,Small pots
Exp_Set1,POT,Exp_Set1_98_152,152,6,Small pots
Exp_Set1,POT,Exp_Set1_98_153,153,16,Small pots
Exp_Set1,POT,Exp_Set1_98_154,154,12,Small pots
Exp_Set1,POT,Exp_Set1_98_155,155,12,Small pots
Exp_Set1,POT,Exp_Set1_98_156,156,8,Small pots
Exp_Set1,POT,Exp_Set1_98_157,157,11,Small pots
Exp_Set1,POT,Exp_Set1_98_158,158,7,Small pots
Exp_Set1,POT,Exp_Set1_98_159,159,8,Small pots
Exp_Set1,POT,Exp_Set1_98_160,160,9,Small pots
Exp_Set1,POT,Exp_Set1_98_161,161,10,Small pots
Exp_Set1,POT,Exp_Set1_98_162,162,9,Small pots
Exp_Set1,POT,Exp_Set1_98_163,163,11,Small pots
Exp_Set1,POT,Exp_Set1_98_164,164,6,Small pots
Exp_Set1,POT,Exp_Set1_98_165,165,7,Small pots
Exp_Set1,POT,Exp_Set1_98_166,166,10,Small pots
Exp_Set1,POT,Exp_Set1_98_167,167,3,Small pots
Exp_Set1,POT,Exp_Set1_98_168,168,8,Small pots
Exp_Set1,POT,Exp_Set1_98_169,169,7,Small pots
Exp_Set1,POT,Exp_Set1_98_170,170,6,Small pots
Exp_Set1,POT,Exp_Set1_98_171,171,3,Small pots
Exp_Set1,POT,Exp_Set1_98_172,172,10,Small pots
Exp_Set1,POT,Exp_Set1_98_173,173,5,Large pots
Exp_Set1,POT,Exp_Set1_98_174,174,6,Large pots
Exp_Set1,POT,Exp_Set1_98_175,175,2,Large pots
Exp_Set1,POT,Exp_Set1_98_176,176,7,Large pots
Exp_Set1,POT,Exp_Set1_98_177,177,7,Large pots
Exp_Set1,POT,Exp_Set1_98_95,95,2,Large pots
